Date,Close,High,Low,Open,Volume
,GOOG,GOOG,GOOG,GOOG,GOOG
2020-01-02,68.12372589111328,68.16208598510593,66.83734758257737,66.83734758257737,28132000
2020-01-03,67.78942108154297,68.37930442399039,67.03632869883518,67.15171305828703,23728000
2020-01-06,69.46092987060547,69.57501428962138,67.25834113577675,67.25834113577675,34646000
2020-01-07,69.41757202148438,69.8983427089121,69.27009928872117,69.64675190058186,30054000
2020-01-08,69.9646224975586,70.3263218842398,69.29303190259908,69.35480640849815,30560000
2020-01-09,70.73733520507812,71.11099262015763,70.26104211370898,70.77420529099804,30018000
2020-01-10,71.2305679321289,71.48958599528463,70.66360482018497,71.1224511531256,36414000
2020-01-13,71.703857421875,71.76812539703022,71.0457226438868,71.54941358661911,33046000
2020-01-14,71.28784942626953,71.83189220822926,71.16280282918358,71.69289579622128,31178000
2020-01-15,71.70236206054688,71.81171796918126,71.25447036301387,71.25447036301387,25654000
2020-01-16,72.32512664794922,72.33957820087372,71.78805494305209,72.11289179547897,23474000
2020-01-17,73.7544937133789,73.79958164704354,72.64996477290734,72.88362228919742,47924000
2020-01-21,73.95426940917969,74.32543330502209,73.29662877544352,73.69121467610098,40734000
2020-01-22,74.031494140625,74.89160097202414,73.9806742418447,74.28309255050281,32216000
2020-01-23,74.06636810302734,74.50828458240707,73.83968929856596,74.11569799645245,27024000
2020-01-24,73.07294464111328,74.50703893637343,73.00020034197286,74.41212697328763,35692000
2020-01-27,71.43831634521484,71.64607358067836,70.80558765170744,71.29383882097378,35104000
2020-01-28,72.36796569824219,72.53935456329114,71.36706080801932,71.89168026142487,31548000
2020-01-29,72.6703872680664,73.0091663200214,72.07801046020607,72.67885598415737,21554000
2020-01-30,72.53138732910156,72.60312815337686,71.56286719618645,71.74023131308448,26788000
2020-01-31,71.45475769042969,73.24332933521633,71.17077440981794,73.18204897262366,48344000
2020-02-03,74.03099822998047,74.23327436658063,72.68832651582746,72.83828513994706,60736000
2020-02-04,72.0944595336914,73.21194244120252,71.05967965107749,72.59266942795216,78660000
2020-02-05,72.15225219726562,72.92996017106478,71.27191614536156,72.85921521589113,39724000
2020-02-06,73.5472412109375,73.83470625780087,72.21901342432614,72.256879383982,33588000
2020-02-07,73.69670104980469,74.02601552536632,73.05500192940411,73.10233247546581,23446000
2020-02-10,75.16393280029297,75.20478637889101,73.45208879540156,73.45208879540156,28398000
2020-02-11,75.1694107055664,76.20767995883487,75.0123745430737,75.31987106902943,26892000
2020-02-12,75.64170837402344,75.76252822139317,75.13553152149302,75.45288792672153,23352000
2020-02-13,75.46186065673828,76.08561888964451,74.96066315107382,75.36371020707828,18590000
2020-02-14,75.7647705078125,75.7647705078125,75.09716350281852,75.50868686338217,23956000
2020-02-18,75.71145629882812,76.30731487256637,75.35872742368133,75.4787946633647,22414000
2020-02-19,76.06121063232422,76.33103885266067,75.7976541278208,75.98049935111298,18986000
2020-02-20,75.63573455810547,76.20817874720811,75.07126495040771,75.82754262619551,21932000
2020-02-21,73.9896469116211,75.3400422729174,73.75698527381057,75.13154004320887,34634000
2020-02-24,70.82501220703125,71.5912637591547,70.31684363464926,71.05020099096896,57342000
2020-02-25,69.1739501953125,71.64955212683627,68.87253535172991,71.393476084412,49566000
2020-02-26,69.40959167480469,70.5315672341156,68.70313052127754,69.55706439531768,44048000
2020-02-27,65.66854858398438,68.33964561997183,65.62270804503615,67.85917139391135,59566000
2020-02-28,66.72673797607422,66.81691383567602,63.322470040765474,63.646307197673856,75782000
2020-03-02,69.20684051513672,69.29453051462616,66.1032455058984,67.33855319181407,48630000
2020-03-03,66.82937622070312,70.2550631453751,66.36155187083929,69.72048493834501,48046000
